,duration,route_id,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,score_route
189,6639.673494338989,RouteScenario_18,0,0,0,0,1,0,0,3,0,100.0
190,4933.752211332321,RouteScenario_19,0,0,0,0,0,0,0,3,0,100.0
191,3976.471612215042,RouteScenario_19,0,0,0,0,1,0,0,2,1,57.43988165460842
192,5383.916441679001,RouteScenario_19,0,0,1,0,0,0,0,2,0,100.0
193,6036.054306030273,RouteScenario_19,0,0,0,0,0,0,0,3,0,100.0
194,3102.598086118698,RouteScenario_19,0,0,0,0,0,0,0,1,1,50.20648894755357
195,5317.551165103912,RouteScenario_19,0,0,0,0,0,0,0,2,0,100.0
196,4704.155753135681,RouteScenario_19,0,0,0,0,0,0,0,3,0,100.0
197,5356.341145992279,RouteScenario_19,0,0,0,0,0,0,0,3,0,100.0
198,6122.931058883667,RouteScenario_19,0,0,0,0,0,0,0,3,0,100.0
199,5339.792053461075,RouteScenario_19,0,0,1,0,0,0,0,2,0,100.0
200,6076.547004461288,RouteScenario_20,0,0,2,0,0,0,0,1,1,75.47572837596869
201,6068.964942216873,RouteScenario_20,0,0,1,0,0,0,0,1,1,75.47572837596869
202,11664.302736759186,RouteScenario_20,0,0,9,1,0,0,0,1,1,76.86214737803229
203,6055.166249513626,RouteScenario_20,0,0,0,0,0,0,0,1,1,70.8217024917149
204,6060.451751708984,RouteScenario_20,0,0,1,0,0,0,0,1,1,75.12866552186672
205,6195.992506504059,RouteScenario_20,0,0,1,0,0,0,0,1,1,71.88841135330769
206,6908.162032842636,RouteScenario_20,0,0,1,0,0,0,0,1,1,72.15554484686703
207,6218.826798200607,RouteScenario_20,0,0,2,0,0,0,0,1,1,75.23207280958589
208,6389.106685400009,RouteScenario_20,0,0,1,0,0,0,0,1,1,75.97676148576433
209,5718.350223302841,RouteScenario_20,0,0,2,0,0,0,0,0,1,74.99561274160675
210,5064.082232952118,RouteScenario_21,0,0,0,0,0,0,0,1,1,80.95900572447273
211,4150.466668605804,RouteScenario_21,0,0,0,0,0,0,0,3,0,100.0
212,5728.537414550781,RouteScenario_21,0,0,1,0,0,0,0,1,1,76.62034626219169
213,4606.415175437927,RouteScenario_21,0,0,0,0,0,0,0,2,0,100.0
214,4558.169036149979,RouteScenario_21,0,0,0,0,0,0,0,3,0,100.0
215,4604.129749298096,RouteScenario_21,0,0,0,0,0,0,0,3,0,100.0
216,4487.845541238785,RouteScenario_21,0,0,0,0,0,0,0,3,0,100.0
217,4458.604946613312,RouteScenario_21,0,0,0,0,0,0,0,3,0,100.0
218,4477.787796020508,RouteScenario_21,0,0,0,0,0,0,0,3,0,100.0
219,4516.758681774139,RouteScenario_21,0,0,0,0,0,0,0,2,0,100.0
220,4214.086792230606,RouteScenario_22,0,0,1,0,0,0,0,2,1,37.24039149401943
221,4892.336892604828,RouteScenario_22,0,0,1,0,0,0,0,2,1,48.85297165342259
222,5656.457401275635,RouteScenario_22,0,0,0,0,0,0,0,2,0,100.0
223,5634.765604972839,RouteScenario_22,0,0,0,0,0,0,0,3,0,100.0
224,5152.514043331146,RouteScenario_22,0,0,3,1,0,0,0,3,1,53.31618638350138
225,5653.667127132416,RouteScenario_22,0,0,1,0,0,0,0,3,0,100.0
226,5620.116592168808,RouteScenario_22,0,0,1,0,0,0,0,3,0,100.0
227,5620.48836183548,RouteScenario_22,0,0,0,0,0,0,0,3,0,100.0
228,2173.1418566703796,RouteScenario_22,0,0,0,0,0,0,0,1,1,12.147037126324836
229,5625.475868701935,RouteScenario_22,0,0,0,0,0,0,0,3,0,100.0
230,6658.917779684067,RouteScenario_23,0,0,0,0,1,0,0,0,0,100.0
231,6826.148475646973,RouteScenario_23,0,0,0,0,0,0,0,1,0,100.0
232,6874.12017250061,RouteScenario_23,0,0,1,0,0,0,0,1,0,100.0
233,6633.296582460403,RouteScenario_23,0,0,2,0,0,0,0,1,1,80.62645364352299
234,6753.452527046204,RouteScenario_23,0,0,1,0,0,0,0,1,0,100.0
235,6568.329711675644,RouteScenario_23,0,0,1,0,0,0,0,1,0,100.0
236,6596.4248604774475,RouteScenario_23,0,0,1,0,0,0,0,1,0,100.0
237,6362.677323818207,RouteScenario_23,0,0,1,0,0,0,0,1,0,100.0
238,6803.662344932556,RouteScenario_23,0,0,0,0,0,0,0,1,0,100.0
239,6814.067594766617,RouteScenario_23,0,0,1,0,0,0,0,1,0,100.0
240,3746.2330293655396,RouteScenario_24,0,0,1,0,0,0,0,1,1,37.20836917142323
241,6767.8451182842255,RouteScenario_24,0,0,0,0,0,0,0,3,1,85.96486452347014
242,6270.398044586182,RouteScenario_24,0,0,1,0,0,0,0,4,0,100.0
243,6984.044889211655,RouteScenario_24,0,0,2,0,0,0,0,2,1,86.18865840385462
244,5909.047656774521,RouteScenario_24,0,0,2,0,0,0,0,2,0,100.0
245,6159.498421430588,RouteScenario_24,0,0,1,0,0,0,0,2,1,77.19005890634644
246,3723.050143480301,RouteScenario_24,0,0,1,0,0,0,0,1,1,37.20836917142323
247,5464.800055503845,RouteScenario_24,0,0,0,0,0,0,0,4,0,100.0
248,5722.4753358364105,RouteScenario_24,0,0,1,0,0,0,0,3,0,100.0
249,5664.863394498825,RouteScenario_24,0,0,1,0,0,0,0,5,0,100.0
250,3057.682562351227,RouteScenario_25,0,0,0,0,0,0,0,6,0,100.0
251,3328.0237879753113,RouteScenario_25,0,0,1,0,0,0,0,6,0,100.0
252,3054.934419155121,RouteScenario_25,0,0,0,0,0,0,0,6,0,100.0
253,3376.441666126251,RouteScenario_25,0,0,0,0,0,0,0,6,0,100.0
254,3386.712651014328,RouteScenario_25,0,0,0,0,0,0,0,6,0,100.0
255,3390.4636690616608,RouteScenario_25,0,0,1,0,0,0,0,6,0,100.0
256,3359.1808173656464,RouteScenario_25,0,0,0,0,0,0,0,5,0,100.0
257,3054.330095052719,RouteScenario_25,0,0,1,0,0,0,0,6,0,100.0
258,3426.0343792438507,RouteScenario_25,0,0,0,0,0,0,0,5,0,100.0
259,3471.4268622398376,RouteScenario_25,0,0,0,0,0,0,0,4,0,100.0
260,3096.8296976089478,RouteScenario_26,0,0,0,0,0,0,0,3,0,100.0
261,3185.843410015106,RouteScenario_26,0,0,1,0,0,0,0,3,0,100.0
262,3122.171926498413,RouteScenario_26,0,0,0,0,0,0,0,3,0,100.0
263,3159.5886800289154,RouteScenario_26,0,0,0,0,0,0,0,3,0,100.0
264,3561.832057237625,RouteScenario_26,0,0,1,0,0,0,0,3,0,100.0
265,3051.215381383896,RouteScenario_26,0,0,0,0,0,0,0,3,0,100.0
266,3509.333865880966,RouteScenario_26,0,0,0,0,0,0,0,3,0,100.0
267,3110.109569311142,RouteScenario_26,0,0,0,0,0,0,0,3,0,100.0
268,3568.392307281494,RouteScenario_26,0,0,1,0,0,0,0,3,0,100.0
269,3236.972825050354,RouteScenario_26,0,0,0,0,0,0,0,2,0,100.0
270,2456.41672205925,RouteScenario_27,0,0,2,0,0,0,0,2,0,100.0
271,2433.852257490158,RouteScenario_27,0,0,0,0,0,0,0,2,0,100.0
272,2405.7016727924347,RouteScenario_27,0,0,0,0,0,0,0,2,0,100.0
273,2114.8795347213745,RouteScenario_27,0,0,0,0,0,0,0,2,0,100.0
274,3256.1077585220337,RouteScenario_27,0,0,0,0,0,0,0,2,1,90.80228639279487
275,2137.4857540130615,RouteScenario_27,0,0,0,0,0,0,0,2,0,100.0
276,3640.4958486557007,RouteScenario_27,0,0,0,0,0,0,0,2,1,90.70722065433421
277,2396.9014925956726,RouteScenario_27,0,0,0,0,1,0,0,2,0,100.0
278,3665.79927778244,RouteScenario_27,0,0,0,0,0,0,0,2,1,90.70722065433421
279,3490.1368041038513,RouteScenario_27,0,0,0,0,0,0,0,2,1,90.70722065433421
280,2351.760585308075,RouteScenario_28,0,0,0,0,0,0,0,4,0,100.0
281,2906.794981956482,RouteScenario_28,0,0,0,0,0,0,0,3,0,100.0
282,2386.3287138938904,RouteScenario_28,0,0,0,0,0,0,0,4,0,100.0
283,2637.2793292999268,RouteScenario_28,0,0,1,0,0,0,0,3,0,100.0
284,2372.1490156650543,RouteScenario_28,0,0,0,0,0,0,0,4,0,100.0
285,2680.398544073105,RouteScenario_28,0,0,2,0,0,0,0,4,0,100.0
286,2998.112472295761,RouteScenario_28,0,0,0,0,0,0,0,2,0,100.0
287,2627.7425577640533,RouteScenario_28,0,0,0,0,0,0,0,2,0,100.0
288,2270.934496164322,RouteScenario_28,0,0,0,0,0,0,0,4,0,100.0
289,2278.782169818878,RouteScenario_28,0,0,0,0,0,0,0,4,0,100.0
290,2499.101899623871,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
291,2443.2200939655304,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
292,2446.693365097046,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
293,2408.3952465057373,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
294,2464.2577245235443,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
295,2440.5218296051025,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
296,2473.1850192546844,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
297,2450.1395361423492,RouteScenario_29,0,0,0,0,0,0,0,0,0,100.0
