,Road type,Road ID,Scenario Length,Vehicle_in_front,vehicle_in_adjcent_lane,vehicle_in_opposite_lane,vehicle_in_front_two_wheeled,vehicle_in_adjacent_two_wheeled,vehicle_in_opposite_two_wheeled,time of day,weather,Number of People,Target Speed,Trees in scenario,Buildings in Scenario,task,f1,f2,f3,f4,f5
139,2,0,0,1,1,0,0,1,1,2,5,0,2,1,1,0,0.5220869565217391,1.0,1.0,1.0,1.0
140,3,3,0,0,1,0,1,1,0,0,4,0,2,1,1,1,0.6408695652173912,1.0,1.0,1.0,1.0
141,1,1,0,0,1,0,1,1,0,0,4,1,3,1,1,0,0.6364347826086956,1.0,1.0,1.0,0.7945334590009425
142,3,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0,0.9279130434782609,1.0,1.0,1.0,1.0
143,1,2,0,1,0,0,1,0,0,2,5,1,2,1,1,0,0.7644347826086957,1.0,1.0,1.0,1.0
144,0,2,0,1,0,0,0,1,1,2,5,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,1.0
145,0,2,0,1,1,1,1,0,1,0,4,1,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,1.0
146,2,1,0,0,0,0,1,1,0,0,2,1,3,1,1,0,0.6143478260869565,1.0,1.0,1.0,1.0
147,1,2,0,0,0,1,0,1,1,0,6,0,2,1,1,0,0.7632173913043478,1.0,1.0,1.0,1.0
148,3,1,0,1,0,0,1,1,1,0,5,0,3,1,1,2,0.6581739130434783,1.0,1.0,1.0,1.0
149,0,0,0,0,1,1,0,1,0,2,2,0,3,1,1,0,0.9851304347826086,1.0,1.0,1.0,1.0
150,1,2,0,0,1,1,1,0,0,2,6,1,2,1,1,0,0.762695652173913,1.0,1.0,1.0,1.0
151,1,2,0,0,1,0,1,0,0,1,6,0,2,1,1,0,0.7557391304347826,1.0,1.0,1.0,1.0
152,3,1,0,0,0,1,0,0,1,1,1,0,3,1,1,1,0.5860869565217391,1.0,1.0,1.0,1.0
153,2,0,0,1,0,0,0,1,1,2,5,0,3,1,1,0,0.5474782608695652,1.0,1.0,1.0,1.0
154,3,1,0,0,1,1,1,1,1,2,2,0,3,1,1,1,0.538695652173913,1.0,1.0,1.0,1.0
155,2,3,0,1,1,0,1,1,1,0,5,0,3,1,1,0,0.45034782608695645,1.0,1.0,0.17,1.0
156,1,1,0,1,0,0,0,1,1,2,1,1,4,1,1,0,0.6068695652173912,1.0,1.0,1.0,1.0
157,3,1,0,0,0,0,0,1,0,0,1,0,4,1,1,2,0.6466086956521739,1.0,1.0,1.0,1.0
158,3,1,0,0,0,1,1,1,0,0,5,0,2,1,1,1,0.5642608695652174,1.0,1.0,1.0,1.0
159,0,2,0,0,1,0,1,1,1,1,0,0,2,1,1,0,0.9552173913043478,1.0,1.0,1.0,1.0
160,1,3,0,0,1,1,0,0,1,2,5,0,3,1,1,0,0.6660869565217391,1.0,1.0,1.0,1.0
161,1,0,0,0,0,0,1,1,1,0,6,1,4,1,1,0,0.2777391304347826,1.0,1.0,1.0,1.0
162,3,1,0,0,0,1,1,0,0,0,5,0,4,1,1,2,0.6390434782608695,1.0,1.0,1.0,1.0
163,1,0,0,1,1,0,1,0,1,2,6,1,3,1,1,0,0.4385217391304347,0.02,1.0,1.0,1.0
164,3,3,0,0,0,1,1,0,1,2,2,0,4,1,1,0,0.9951304347826087,1.0,1.0,1.0,1.0
165,0,1,0,1,0,1,0,1,0,0,4,1,2,1,1,0,0.9606086956521739,1.0,1.0,1.0,1.0
166,1,1,0,1,1,0,1,0,0,0,5,0,2,1,1,0,0.7319130434782608,1.0,1.0,1.0,1.0
167,2,2,0,0,0,0,0,1,0,0,3,1,3,1,1,0,0.7307826086956521,1.0,1.0,1.0,1.0
168,3,1,0,1,1,0,0,1,1,1,0,1,2,1,1,2,0.7921739130434783,1.0,1.0,1.0,1.0
169,1,2,0,0,0,1,0,1,1,1,0,1,2,1,1,0,0.781391304347826,1.0,1.0,1.0,1.0
170,2,0,0,0,1,0,0,1,1,0,1,0,2,1,1,0,0.5313043478260868,1.0,1.0,1.0,1.0
171,1,3,0,1,1,1,0,0,0,1,0,1,3,1,1,0,0.6386956521739131,1.0,1.0,1.0,1.0
172,2,3,0,0,1,1,0,0,1,2,2,0,2,1,1,0,0.45034782608695645,1.0,1.0,0.11,1.0
173,1,0,0,0,1,0,1,1,1,1,4,0,2,1,1,0,0.693391304347826,1.0,1.0,1.0,1.0
174,3,2,0,1,0,1,0,0,1,2,0,1,4,1,1,0,0.9207826086956522,1.0,1.0,1.0,0.3826217748466968
175,1,3,0,0,0,1,1,0,1,2,3,0,2,1,1,0,0.6022608695652174,1.0,1.0,1.0,1.0
176,0,2,0,1,0,0,0,1,1,2,6,0,2,1,1,0,0.9659130434782609,1.0,1.0,1.0,1.0
177,3,3,0,0,0,0,0,0,1,1,1,1,4,1,1,2,0.6211304347826088,1.0,1.0,1.0,1.0
178,2,0,0,0,1,1,0,1,1,1,2,1,4,1,1,0,0.5466086956521738,1.0,1.0,1.0,1.0
179,1,2,0,0,1,1,0,1,0,1,5,0,4,1,1,0,0.7595652173913043,1.0,1.0,1.0,1.0
180,0,3,0,1,1,1,0,0,1,0,3,1,4,1,1,0,0.884,1.0,1.0,1.0,1.0
181,1,0,0,0,1,0,1,1,1,2,4,0,2,1,1,0,0.693391304347826,1.0,1.0,1.0,1.0
182,1,1,0,1,0,1,1,1,0,2,2,1,3,1,1,0,0.6373913043478261,1.0,1.0,1.0,1.0
183,3,0,0,0,1,0,1,0,0,1,5,1,4,1,1,1,0.5766086956521739,1.0,1.0,1.0,1.0
184,0,3,0,1,0,0,0,1,1,2,0,0,2,1,1,0,0.8699130434782608,1.0,1.0,1.0,1.0
185,2,2,0,0,0,0,1,0,1,0,4,0,4,1,1,0,0.7243478260869565,1.0,1.0,1.0,1.0
186,3,0,0,1,0,1,1,1,0,2,0,0,2,1,1,0,0.9237391304347826,1.0,1.0,1.0,0.9239146217511253
187,3,0,0,0,1,1,0,1,0,0,2,1,4,1,1,1,0.5628695652173912,1.0,1.0,1.0,1.0
188,1,1,0,1,1,0,1,0,1,1,1,0,2,1,1,0,0.714,1.0,1.0,1.0,1.0
189,2,2,0,0,1,1,1,0,0,2,4,0,3,1,1,0,0.7307826086956521,1.0,1.0,1.0,1.0
190,2,2,0,0,1,0,0,1,0,2,1,1,4,1,1,0,0.7290434782608696,1.0,1.0,1.0,1.0
191,1,2,0,1,0,0,0,1,1,1,0,0,2,1,1,0,0.7828695652173913,1.0,1.0,1.0,1.0
192,0,2,0,1,0,0,1,1,0,2,2,0,4,1,1,0,0.9053913043478261,1.0,1.0,1.0,1.0
193,0,0,0,0,1,0,0,1,1,0,3,1,3,1,1,0,0.9594782608695652,1.0,1.0,1.0,0.7121448034254574
194,1,1,0,0,0,1,0,0,1,0,6,0,3,1,1,0,0.6316521739130434,1.0,1.0,1.0,1.0
195,3,3,0,0,0,1,0,0,0,2,6,0,4,1,1,2,0.6165217391304347,1.0,1.0,1.0,1.0
196,0,2,0,1,0,0,0,1,1,2,5,0,4,1,1,0,0.9049565217391304,1.0,1.0,1.0,1.0
197,0,3,0,1,0,1,0,1,0,0,6,0,4,1,1,0,0.8839130434782608,1.0,1.0,1.0,1.0
198,1,2,0,0,0,1,1,0,1,0,2,0,3,1,1,0,0.7645217391304348,1.0,1.0,1.0,1.0
199,3,1,0,0,1,0,0,0,1,0,0,0,4,1,1,1,0.33608695652173914,1.0,1.0,1.0,1.0
200,2,0,0,1,0,1,1,1,1,0,5,1,2,1,1,0,0.5640000000000001,1.0,1.0,1.0,1.0
201,1,1,0,1,0,0,0,1,0,0,1,1,3,1,1,0,0.6674782608695652,1.0,1.0,1.0,0.8836003770028276
202,3,0,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0.9353913043478261,1.0,1.0,1.0,1.0
203,0,3,0,0,0,1,0,0,0,1,6,1,2,1,1,0,0.8699130434782608,1.0,1.0,1.0,1.0
204,3,3,0,1,1,1,1,0,0,1,5,1,4,1,1,1,0.9999130434782608,1.0,1.0,1.0,0.2136135508155583
205,1,2,0,0,1,0,1,0,0,1,4,0,3,1,1,0,0.7762608695652173,1.0,1.0,1.0,1.0
206,1,3,0,0,0,0,0,1,0,1,3,1,3,1,1,0,0.6037391304347826,1.0,1.0,1.0,1.0
207,1,1,0,1,0,1,0,0,0,1,4,1,2,1,1,0,0.7359130434782608,1.0,1.0,1.0,1.0
208,3,3,0,1,1,1,1,0,0,0,3,1,2,1,1,1,0.9993043478260869,1.0,1.0,1.0,0.501254705144291
209,2,1,0,1,1,1,0,1,0,2,5,0,3,1,1,0,0.5843478260869566,1.0,1.0,1.0,1.0
210,0,3,0,0,1,0,1,1,1,0,5,0,3,1,1,0,0.884,1.0,1.0,1.0,1.0
211,2,2,0,1,1,1,1,0,1,2,5,1,2,1,1,0,0.7629565217391304,1.0,1.0,1.0,1.0
212,2,0,0,1,1,0,1,0,1,1,1,0,3,1,1,0,0.5474782608695652,1.0,1.0,1.0,1.0
213,1,3,0,1,1,1,0,0,0,0,0,0,3,1,1,0,0.6098260869565217,1.0,1.0,1.0,1.0
214,0,2,0,1,0,0,1,1,1,2,0,1,3,1,1,0,0.9604347826086956,1.0,1.0,1.0,1.0
215,2,1,0,0,1,1,1,0,0,2,5,1,3,1,1,0,0.6098260869565217,1.0,1.0,1.0,1.0
216,1,3,0,1,1,0,1,0,1,2,5,1,2,1,1,0,0.5991304347826086,1.0,1.0,1.0,1.0
217,1,2,0,0,0,1,0,1,1,1,3,0,2,1,1,0,0.782695652173913,1.0,1.0,1.0,1.0
218,0,0,0,1,0,1,0,0,1,0,4,1,4,1,1,0,0.9990434782608696,1.0,1.0,1.0,0.6539509536784741
219,2,1,0,0,0,1,0,1,1,2,1,1,4,1,1,0,0.570086956521739,1.0,1.0,1.0,1.0
220,2,0,0,0,1,0,0,0,1,1,4,1,3,1,1,0,0.5474782608695652,1.0,1.0,1.0,1.0
221,1,3,0,1,0,0,1,0,1,2,2,1,3,1,1,0,0.6410434782608696,1.0,1.0,1.0,1.0
222,2,2,0,0,0,0,0,0,1,1,1,0,4,1,1,0,0.7216521739130435,1.0,1.0,1.0,1.0
